item-name,item-body,label_int,label
AM,:= St AM_St,2,Definition
am_newNonce,"(bs:BS) : AM nat :=
  oldSt <- get ;;
  let oldMap := am_nonceMap oldSt in
  let oldId := am_nonceId oldSt in
  let newMap := map_set oldMap oldId bs in
  let newId := oldId + 1 in
  put (mkAM_St newMap newId) ;;
  ret oldId",2,Definition
am_getNonce,"(nid:nat) : AM BS :=
  oldSt <- get ;;
  let oldMap := am_nonceMap oldSt in
  let resopt := map_get oldMap nid in
  match resopt with
  | Some res => ret res
  | None => failm
  end",2,Definition
am_runCvm_nonce,"(t:Term) (p:Plc) (bs:BS) : AM (nat * RawEv) :=
  nid <- am_newNonce bs ;;
  ret (nid, run_cvm_rawEv t p [bs])",2,Definition
empty_amst,":=
  mkAM_St map_empty 0 (* [] [] *)",2,Definition
Range,: Set := nat * nat,2,Definition
range,"x :=
  match x with
  | aasp r _ => r
  | aatt r _ _ => r
  | alseq r _ _ => r
  | abseq r _ _ _ => r
  | abpar r _ _ _ => r
  end",2,Definition
annotated,"x :=
  snd (anno x 0)",2,Definition
checkASP,"(params:ASP_PARAMS) (bs:BS) : Opt BS :=
  Some (checkASP' params bs)",2,Definition
checkHH,"(params:ASP_PARAMS) (bs:BS) (e:Evidence) : Opt BS :=
  Some (checkHH' params bs e)",2,Definition
checkEE,"(params:ASP_PARAMS) (bs:BS) : Opt BS := 
Some (checkEE' params bs)",2,Definition
decrypt_bs_to_rawev,"' (bs:BS) (params:ASP_PARAMS) : AM RawEv :=
  ret (decrypt_bs_to_rawev bs params)",2,Definition
check_asp_EXTD,"' (params:ASP_PARAMS) (p:Plc) (sig:BS) (ls:RawEv) : AM BS :=
  ret (check_asp_EXTD params p sig ls)",2,Definition
checkNonce,"' (nid:nat) (nonceCandidate:BS) : AM BS :=
  nonceGolden <- am_getNonce nid ;;
  ret (checkNonce nonceGolden nonceCandidate)",2,Definition
peel_bs,"(ls:RawEv) : Opt (BS * RawEv) :=
  match ls with
  | bs :: ls' => ret (bs, ls')
  | _ => failm
  end",2,Definition
reconstruct_ev,"(e:EvC) : Opt EvidenceC :=
  match e with
  | evc ls et => reconstruct_ev' ls et
  end",2,Definition
spc_ev,"(sp:SP) (e:EvidenceC) : EvidenceC :=
  match sp with
  | ALL => e
  | NONE => mtc
  end",2,Definition
cvm_evidence_denote_asp,"(a:ASP) (p:Plc) (e:EvidenceC) (x:Event_ID): EvidenceC :=
  match a with
  | NULL => mtc
  | CPY => e
  | ASPC sp fwd params =>
    match fwd with
    | COMP => hhc p params
                 (do_asp params (encodeEv (spc_ev sp e)) p x)
                 (sp_ev sp (et_fun e))
    | EXTD => ggc p params
                 (do_asp params (encodeEv (spc_ev sp e)) p x)
                 (spc_ev sp e)
    | ENCR => eec p params
                 (do_asp params (encodeEv (spc_ev sp e)) p x)
                 (sp_ev sp (et_fun e))
    | KEEP => (spc_ev sp e)
    | KILL => mtc (* kkc p params (sp_ev sp (et_fun e)) *)
    end
  | SIG => ggc p sig_params
              (do_asp sig_params (encodeEv e) p x)
              e
  | HSH => hhc p hsh_params
              (do_asp hsh_params (encodeEv e) p x)
              (et_fun e)
  | ENC q => eec p (enc_params q)
                (do_asp (enc_params q) (encodeEv e) p x)
                (et_fun e)
  end",2,Definition
checkASP,' (params:ASP_PARAMS) (bs:BS) : BS,2,Definition
checkHH,' (params:ASP_PARAMS) (bs:BS) (e:Evidence) : BS,2,Definition
checkEE,' (params:ASP_PARAMS) (bs:BS) : BS,2,Definition
gen_nonce_bits,: BS,2,Definition
decrypt_bs_to_rawev,(bs:BS) (params:ASP_PARAMS) : RawEv,2,Definition
check_asp_EXTD,(params:ASP_PARAMS) (p:Plc) (sig:BS) (ls:RawEv) : BS,2,Definition
checkNonce,(nonceGolden:BS) (nonceCandidate:BS) : BS,2,Definition
doRemote_session,(t:Term) (pTo:Plc) (e:EvC) : EvC,2,Definition
parallel_vm_thread,(l:Loc) (t:Term) (p:Plc) (e:EvC) : EvC,2,Definition
shuffled_events,(el1:list Ev) (el2:list Ev) : list Ev,2,Definition
cvm_events_core,(t:Core_Term) (p:Plc) (e:Evidence) : list Ev,2,Definition
cvm_evidence_core,(t:Core_Term) (p:Plc) (e:EvC) : EvC,2,Definition
cvm_events,"(t:Term) (p:Plc) (e:Evidence) : list Ev :=
  cvm_events_core (copland_compile t) p e",2,Definition
cvm_evidence,"(t:Term) (p:Plc) (e:EvC) : EvC :=
  cvm_evidence_core (copland_compile t) p e",2,Definition
BS,: Set,2,Definition
default_bs,: BS,2,Definition
passed_bs,: BS,2,Definition
failed_bs,: BS,2,Definition
splitEv_l,"(sp:Split) (e:EvC): EvC :=
  match sp with
  | (ALL, _) => e
  | _ => mt_evc
  end",2,Definition
splitEv_r,"(sp:Split) (e:EvC): EvC :=
  match sp with
  | (_,ALL) => e
  | _ => mt_evc
  end",2,Definition
splitEvl,"(sp:Split) (e:EvidenceC) : EvidenceC :=
  match sp with
  | (ALL,_) => e
  | _ => mtc
  end",2,Definition
splitEvr,"(sp:Split) (e:EvidenceC) : EvidenceC :=
  match sp with
  | (_,ALL) => e
  | _ => mtc
  end",2,Definition
isLowerAlpha,"(c : ascii) : bool :=
  let n := nat_of_ascii c in
    andb (97 <=? n) (n <=? 122)",2,Definition
isAlpha,"(c : ascii) : bool :=
  let n := nat_of_ascii c in
    orb (andb (65 <=? n) (n <=? 90))
        (andb (97 <=? n) (n <=? 122))",2,Definition
isDigit,"(c : ascii) : bool :=
  let n := nat_of_ascii c in
     andb (48 <=? n) (n <=? 57)",2,Definition
isAlphaNum,"(c : ascii) : bool :=
    orb (orb (isAlpha c) (isLowerAlpha c)) (isDigit c)",2,Definition
isUnderscore,"(c : ascii) : bool :=
    (nat_of_ascii c) =? 95",2,Definition
classifyChar,"(c : ascii) : chartype :=
  if isWhite c then
    white
  else if isAlpha c then
    alpha
  else if isDigit c then
    digit
  else if isUnderscore c then
    underscore
  else
    other",2,Definition
string_of_list,"(xs : list ascii) : string :=
  fold_right String EmptyString xs",2,Definition
token,:= string,2,Definition
tokenize,"(s : string) : list string :=
  map string_of_list (tokenize_helper white [] (list_of_string s))",2,Definition
parser,"(T : Type) :=
    list token -> optionE (T * list token)",2,Definition
many,"{T} (p : parser T) (steps : nat) : parser (list T) :=
  many_helper p [] steps",2,Definition
expect,"(t : token) : parser unit :=
  firstExpect t (fun xs => SomeE (tt, xs))",2,Definition
isIdTail,:= fun x => orb (isAlphaNum x) (isUnderscore x),2,Definition
symbol_map,:= MapD string nat,2,Definition
parseSymbol,"(xs : list token) (sm : symbol_map) 
                         : optionE (symbol_map * string * list token) :=
    match xs with
    | [] => NoneE ""Expected identifier""
    | x::xs' => match (list_of_string x) with
                | nil => NoneE (""Illegal identifier: nil - is this possible?"")
                | xh :: xt => if andb (isLowerAlpha xh) (forallb isIdTail xt) then
                                SomeE (sm, x, xs')
                              else 
                                NoneE (""Illegal Identifier: '"" ++ x ++ ""'"")
                end
    end",2,Definition
str_to_nat,"(x : list ascii) : nat :=
  (fold_left 
    (fun n d => 10 * n + (nat_of_ascii d - nat_of_ascii ""0""%char))
    x
    0
  )",2,Definition
parseDigits,"(xs : list token) (sm : symbol_map)
      : optionE (symbol_map * string * list token) :=
  match xs with
  | nil     => NoneE ""Expected digits""
  | x::xs'  => if (forallb isDigit (list_of_string x))
                then 
                  let dig := str_to_nat (list_of_string x) in
                  SomeE ((map x to dig in sm), x, xs')
                else NoneE ""Invalid digit sequence""
  end",2,Definition
parsePlace,"(xs : list token) (sm : symbol_map)
                      : optionE (symbol_map * string * list token) :=
  match xs with
  | nil => NoneE ""Expected Place""
  | x::xs' => (* we need places to be either DIGITS or p + DIGITS *)
              match (list_of_string x) with
                | nil => NoneE (""Illegal place: nil - is this possible?"")
                | xh :: xt => if andb (isLowerAlpha xh) (forallb isDigit xt) then
                              (* we are a p + DIGITS *)
                                let dig := str_to_nat xt in
                                SomeE ((map x to dig in sm), x, xs')
                              else if (forallb isDigit (xh :: xt)) then
                                (* we are completely a digit *)
                                let dig := str_to_nat (list_of_string x) in
                                SomeE ((map x to dig in sm), x, xs')
                              else 
                                NoneE (""Illegal Identifier: '"" ++ x ++ ""'"")
                end
    end",2,Definition
spToStr,"(s : SP) :=
  match s with
  | ALL => ""+""
  | NONE => ""-""
  end",2,Definition
parserSoundASP,"(p :  list token -> symbol_map
        -> (optionE (symbol_map * Term * list token))) 
  (val : string) 
  (a : ASP) : Prop :=
    forall s t (sm : symbol_map), 
    (s = val <-> p (s :: t) sm = SomeE (sm, (asp a), t))
    /\
    (s <> val <-> exists m, p (s :: t) sm = NoneE m)",2,Definition
parseCopy,"(xs : list token) (sm : symbol_map)
                      : optionE (symbol_map * Term * list token) := 
  match xs with
  | nil => NoneE ""Expected a copy""
  | h :: t => if (h =? ""_"") 
                then SomeE (sm, (asp CPY), t) 
                else NoneE ""Invalid CPY""
  end",2,Definition
parseASPC,"(xs : list token) (sm : symbol_map)
                      : optionE (symbol_map * Term * list token) := 
    let sym1 := parseSymbol xs sm in
    match sym1 with
    | OutOfFuel => OutOfFuel
    | NoneE m => NoneE m
    | SomeE (sm', x',xs') => 
        let place := parsePlace xs' sm' in
        match place with
        | OutOfFuel => OutOfFuel
        | NoneE m => NoneE m
        | SomeE (sm'', x'',xs'') =>   
                  let sym2 := parseSymbol xs'' sm'' in
                  match sym2 with
                  | OutOfFuel => OutOfFuel
                  | NoneE m => NoneE m
                  | SomeE (sm''', x''',xs''') => 
                      match (mapD_get_value sm''' x'') with
                      (* TODO: Right now we FORCE the place to be digits because
                        the place is digits in Coq, we should find a way around this
                        though *)
                      | None => NoneE ""Failed to find relevant symbol for ASPC""
                      | Some pNat =>
                          SomeE (sm''',
                            (asp (ASPC ALL EXTD (asp_paramsC x' nil pNat x'''))),
                            xs''')
                      end
                  end
        end
    end",2,Definition
parseSign,"(xs : list token) sm : optionE (symbol_map * Term * list token) := 
  match xs with
  | nil => NoneE ""Expected a sign""
  | h :: t => if (h =? ""!"") 
                then SomeE (sm, (asp SIG), t) 
                else NoneE ""Invalid SIGN""
  end",2,Definition
parseHash,"(xs : list token) sm : optionE (symbol_map * Term * list token) := 
  match xs with
  | nil => NoneE ""Expected a hash""
  | h :: t => if (h =? ""#"") 
                then SomeE (sm, (asp HSH), t) 
                else NoneE ""Invalid HASH""
  end",2,Definition
parseNull,"(xs : list token) sm : optionE (symbol_map * Term * list token) :=
  match xs with
  | nil => NoneE ""Expected NULL""
  | h :: t => if (h =? ""{}"")
                then SomeE (sm, (asp NULL), t)
                else NoneE ""Invalid Null""
  end",2,Definition
parseASP,"(xs : list token) (sm : symbol_map)
                    : optionE (symbol_map * Term * list token) :=
    match xs with
    | nil   => NoneE ""Expected ASP""
    | x::t  =>  
        match (parseNull xs sm) with
        | OutOfFuel => OutOfFuel
        | SomeE x' => SomeE x'
        | NoneE _ =>
            match (parseCopy xs sm) with
            | OutOfFuel => OutOfFuel
            | SomeE x'' => SomeE x''
            | NoneE _ =>
                match (parseASPC xs sm) with
                | OutOfFuel => OutOfFuel
                | SomeE x''' => SomeE x'''
                | NoneE _ =>
                    match (parseSign xs sm) with
                    | OutOfFuel => OutOfFuel
                    | SomeE x'''' => SomeE x''''
                    | NoneE _ =>
                        match (parseHash xs sm) with
                        | OutOfFuel => OutOfFuel
                        | SomeE x''''' => SomeE x'''''
                        | NoneE _ => NoneE ""Expected an ASP""
                        end
                    end
                end
            end
        end
    end",2,Definition
parseBranch,"(xs : list token) (prevT : Term) (sm : symbol_map)
                : optionE (symbol_map * (Term -> Term) * list token) :=
    match xs with
    | nil   => NoneE ""Expected branch""
    | h::t  => (* we only check head, as this should be one contiguous token *)
                if (string_dec h ""-<-"")
                then SomeE (sm, fun t' => (bseq (NONE, NONE) prevT t'), t)
                else if (string_dec h ""-<+"")
                then SomeE (sm, fun t' => (bseq (NONE, ALL) prevT t'), t)
                else if (string_dec h ""+<-"")
                then SomeE (sm, fun t' => (bseq (ALL, NONE) prevT t'), t)
                else if (string_dec h ""+<+"")
                then SomeE (sm, fun t' => (bseq (ALL, ALL) prevT t'), t)
                else if (string_dec h ""-~-"")
                then SomeE (sm, fun t' => (bpar (NONE, NONE) prevT t'), t)
                else if (string_dec h ""-~+"")
                then SomeE (sm, fun t' => (bpar (NONE, ALL) prevT t'), t)
                else if (string_dec h ""+~-"")
                then SomeE (sm, fun t' => (bpar (ALL, NONE) prevT t'), t)
                else if (string_dec h ""+~+"")
                then SomeE (sm, fun t' => (bpar (ALL, ALL) prevT t'), t)
                else NoneE ""Invalid branch""
    end",2,Definition
testPhr,":= ""@1 kim 2 ker -> ! -<- @2 (vc 2 sys) -> !""",2,Definition
testPhr2,":= ""@p1 kim p2 ker -> ! -<- @p2 [(vc p2 sys) -> !]""",2,Definition
transTestPhr,":= <{ @ 1 [<< ""kim"" 2 ""ker"" >> -> (!) -<- @ 2 [<< ""vc"" 2 ""sys"">> -> !]]}>",2,Definition
ascii_from_range,"(min max : nat) : G ascii := 
  bind (choose (min,max)) (fun val =>
    ret (ascii_of_nat val))",2,Definition
genLower,: G ascii := ascii_from_range 97 122,2,Definition
isLowerCorrect,: ascii -> bool := correct_ascii_from_range 97 122,2,Definition
genDigits,: G ascii := ascii_from_range 48 57,2,Definition
isDigitsCorrect,: ascii -> bool := correct_ascii_from_range 48 57,2,Definition
genUnderScore,: G ascii := ascii_from_range 95 95,2,Definition
isUnderScoreCorrect,: ascii -> bool := correct_ascii_from_range 95 95,2,Definition
genUpper,: G ascii := ascii_from_range 65 90,2,Definition
isUpperCorrect,: ascii -> bool := correct_ascii_from_range 65 90,2,Definition
genIdChar,": G ascii := 
  oneOf [genLower; genUpper; genDigits; genUnderScore]",2,Definition
genIdCharCorrect,"(x : ascii) : bool :=
  orb ((correct_ascii_from_range 97 122) x)
    (orb ((correct_ascii_from_range 48 57) x) 
      (orb ((correct_ascii_from_range 95 95) x) ((correct_ascii_from_range 65 90) x)
      )
    )",2,Definition
genSymbol,": G string :=
  h <- genLower ;;
  tailSize <- choose (0,20) ;; 
  (* NOTE: We enforce a size limit here, it is questionable
           if we can really justify this as arbitrary then",2,Definition
shrinkSymbol,"(s : string) : list (string) :=
  match s with
  | EmptyString => []
  | String h t => (map (fun t' => (String h t')) (shrinkSymbolTail t))
  end",2,Definition
gListArg,: G (list Arg) := ret nil,2,Definition
gSplit,": G Split :=
  s1 <- (@arbitrary SP _) ;;
  s2 <- (@arbitrary SP _) ;;
  ret (s1, s2)",2,Definition
shrinkSplit_Aux,"(s : Split) : list (Split) :=
  match s with
  | (NONE, NONE) => []
  | (NONE, ALL) => [(NONE, NONE)]
  | (ALL, NONE) => [(NONE, NONE); (NONE, ALL)]
  | (ALL, ALL) => [(NONE, NONE); (NONE, ALL); (ALL, NONE)]
  end",2,Definition
gFWD,: G (FWD) := ret EXTD,2,Definition
shrinkFWD_Aux,"(f : FWD) : list (FWD) :=
  match f with
  | EXTD => []
  | COMP => [EXTD]
  | ENCR => [COMP]
  | KILL => [ENCR]
  | KEEP => [KILL]
  end",2,Definition
showASP_PARAMS_Aux,"(aspp : ASP_PARAMS) `{_ : Show ASP_ID} `{_ : Show TARG_ID} `{Show Plc} : string :=
    match aspp with
    | (asp_paramsC a arg p t) =>
        show a ++ "" "" ++ show p ++ "" "" ++ show t
    end",2,Definition
showASP_Aux,"(a : ASP) : string :=
    match a with
    | NULL => ""{}""
    | CPY => ""_""
    | ASPC sp fwd params => show params
    | SIG => ""!""
    | HSH => ""#""
    | ENC v => ""ENC""
    end",2,Definition
gASP,": G ASP :=
  oneOf [
    (ret NULL) ; (ret CPY) ; (ret SIG) ; (ret HSH) ;
    (par <- arbitrary ;; ret (ASPC ALL EXTD par))
  ]",2,Definition
shrinkASP_Aux,"(a : ASP) : list (ASP) :=
  match a with
  | (ASPC sp fwd par) => map (fun p' => (ASPC sp fwd p')) (shrink par)
  | _ => [] (* If its just a basic ASP we cant shrink *)
  end",2,Definition
shrinkTerm_Aux,"(t : Term) : list (Term) :=
  match t with
  | asp a => (map (fun a' => asp a') (shrink a))
  (* | _ => []  *)
  (* Testing to see how detrimental the shrink is*)
  | att p t' => 
    (* vary p or vary t *)
    [t'] 
    (* ++ 
    (map (fun p' => att p' t) (shrink p)) ++ 
    (map (fun t'' => att p t'') (shrinkTerm_Aux t')) *)
  | lseq t1 t2 =>
    [t1 ; t2] 
    (* ++ 
    (map (fun t1' => lseq t1' t2) (shrinkTerm_Aux t1)) ++
    (map (fun t2' => lseq t1 t2') (shrinkTerm_Aux t2)) *)
  | bseq sp t1 t2 =>
    [t1 ; t2] ++ (* Vary sp, t1 or t2*)
    (map (fun sp' => bseq sp' t1 t2) (shrink sp)) 
    (* ++
    (map (fun t1' => bseq sp t1' t2) (shrinkTerm_Aux t1)) ++
    (map (fun t2' => bseq sp t1 t2') (shrinkTerm_Aux t2)) *)
  | bpar sp t1 t2 =>
    [t1 ; t2] ++ (* Vary sp, t1 or t2*)
    (map (fun sp' => bpar sp' t1 t2) (shrink sp)) 
    (* ++
    (map (fun t1' => bpar sp t1' t2) (shrinkTerm_Aux t1)) ++
    (map (fun t2' => bpar sp t1 t2') (shrinkTerm_Aux t2)) *)
  end",2,Definition
stat_collect_prop,"(t : Term) :=
  (fun t => collect (term_seq_size t) (genTerm_Correct t))",2,Definition
AC_Policy,: Permission -> Object -> Prop,2,Definition
of,the CVM Monad + monadic helper functions,2,Definition
put_ev,"(e:EvC) : CVM unit :=
  st <- get ;;
     let tr' := st_trace st in
     let p' := st_pl st in
     let i := st_evid st in
     put (mk_st e tr' p' i)",2,Definition
put_pl,"(p:Plc) : CVM unit :=
  st <- get ;;
     let tr' := st_trace st in
     let e' := st_ev st in
     let i := st_evid st in
     put (mk_st e' tr' p i)",2,Definition
get_ev,": CVM EvC :=
  st <- get ;;
  ret (st_ev st)",2,Definition
get_pl,": CVM Plc :=
  st <- get ;;
  ret (st_pl st)",2,Definition
modify_evm,"(f:EvC -> EvC) : CVM unit :=
  st <- get ;;
  let '{| st_ev := e; st_trace := tr; st_pl := p; st_evid := i |} := st in
  put (mk_st (f e) tr p i)",2,Definition
add_trace,"(tr':list Ev) : cvm_st -> cvm_st :=
  fun '{| st_ev := e; st_trace := tr; st_pl := p; st_evid := i |} =>
    mk_st e (tr ++ tr') p i",2,Definition
add_tracem,"(tr:list Ev) : CVM unit :=
  modify (add_trace tr)",2,Definition
tag_ASP,"(params :ASP_PARAMS) (mpl:Plc) (e:EvC) : CVM Event_ID :=
  x <- inc_id ;;
  add_tracem [umeas x mpl params (get_et e)] ;;
  ret x",2,Definition
fwd_asp,"(fwd:FWD) (bs:BS) (e:EvC) (p:Plc) (ps:ASP_PARAMS): EvC :=
  match fwd with
  | COMP => cons_hsh bs e p ps
  | EXTD => cons_gg bs e p ps
  | ENCR => cons_enc bs e p ps
  | KILL => mt_evc
  | KEEP => e
  end",2,Definition
invoke_ASP,"(fwd:FWD) (params:ASP_PARAMS) : CVM EvC :=
  e <- get_ev ;;
  p <- get_pl ;;
  x <- tag_ASP params p e ;;
  bs <- do_asp' params (get_bits e) p x ;;
  ret (fwd_asp fwd bs e p params)",2,Definition
copyEv,": CVM EvC :=
  p <- get_pl ;;
  x <- inc_id ;;
  add_tracem [copy x p] ;;
  get_ev",2,Definition
nullEv,": CVM EvC :=
  p <- get_pl ;;
  x <- inc_id ;;
  add_tracem [null x p] ;;
  ret mt_evc",2,Definition
clearEv,": unit -> CVM EvC :=
  fun _ => ret mt_evc",2,Definition
do_prim,"(a:ASP_Core) : CVM EvC :=
  match a with
  | NULLC => nullEv
  | CLEAR => clearEv tt
  | CPYC => copyEv
  | ASPCC fwd params => invoke_ASP fwd params
  end",2,Definition
tag_REQ,"(t:Term) (p:Plc) (q:Plc) (e:EvC) : CVM unit :=
  reqi <- inc_id ;;
  add_tracem [req reqi p q t (get_et e)]",2,Definition
tag_RPY,"(p:Plc) (q:Plc) (e:EvC) : CVM unit :=
  rpyi <- inc_id ;;
  add_tracem [rpy rpyi p q (get_et e)]",2,Definition
remote_session,"(t:Term) (p:Plc) (q:Plc) (e:EvC) : CVM EvC :=
  tag_REQ t p q e ;;
  e' <- doRemote_session' t q e ;;
  add_tracem (cvm_events t q (get_et e)) ;;
  inc_remote_event_ids t ;;
  ret e'",2,Definition
doRemote,"(t:Term) (q:Plc) (e:EvC) : CVM EvC :=
  p <- get_pl ;;
  e' <- remote_session t p q e ;;
  tag_RPY p q e' ;;
  ret e'",2,Definition
join_seq,"(e1:EvC) (e2:EvC): CVM unit :=
  p <- get_pl ;;
  n <- inc_id ;;
  put_ev (ss_cons e1 e2) ;;
  add_tracem [join n p]",2,Definition
start_par_thread,"(loc:Loc) (t:Core_Term) (e:EvC) : CVM unit :=
  p <- get_pl ;;
  do_start_par_thread loc t (get_bits e) ;;
  add_tracem [cvm_thread_start loc p t (get_et e)]",2,Definition
wait_par_thread,"(loc:Loc) (t:Core_Term) (e:EvC) : CVM EvC :=
  p <- get_pl ;;
  e' <- do_wait_par_thread loc t p e ;;
  add_tracem [cvm_thread_end loc] ;;
  inc_par_event_ids t ;;
  ret e'",2,Definition
run_cvm,"(t:Core_Term) st : cvm_st :=
  execSt (build_cvm t) st",2,Definition
run_cvm,"' (t:Term) st : cvm_st :=
  run_cvm (copland_compile t) st",2,Definition
run_cvm_fresh,"(t:Term) : cvm_st :=
  run_cvm' t empty_vmst",2,Definition
run_cvm_w_config,"(t:Term) (p:Plc) (e:RawEv) : cvm_st :=
  run_cvm' t (mk_st (evc e mt) [] p 0)",2,Definition
run_cvm_rawEv,"(t:Term) (p:Plc) (e:RawEv) : RawEv :=
  get_bits (st_ev (run_cvm_w_config t p e))",2,Definition
empty_vmst,:= mk_st (evc [] mt) [] min_id_type 0,2,Definition
CVM,:= St cvm_st,2,Definition
client_demo_am_comp,"(t:Term) : AppResultC :=
  run_am_sendReq_nonce t dest_plc source_plc",2,Definition
client_demo_am_comp_auth,"(t:Term) : AppResultC :=
  run_am_sendReq_nonce_auth t dest_plc source_plc",2,Definition
run_client_demo_am_comp,"(t:Term) : AppResultC :=
  run_am_app_comp (client_demo_am_comp t) mtc_app",2,Definition
splitEv_mt,"(sp:SP) (e:Evidence) : Evidence :=
  match sp with
  | ALL => e
  | NONE => mt
  end",2,Definition
term_discloses_to_remotes,"(rs: list (Plc*Evidence)) (t:Term) (p:Plc) (e:Evidence) : bool :=
  existsb (term_discloses_to_remote t p e) rs",2,Definition
filter_remote_disclosures,"(rs: list (Plc*Evidence)) (p:Plc) (e:Evidence) (ts:list Term):
  list Term := filter (fun t => negb (term_discloses_to_remotes rs t p e)) ts",2,Definition
get_aspid,"(ps:ASP_PARAMS): ASP_ID :=
  match ps with
  | asp_paramsC i _ _ _ => i
  end",2,Definition
term_discloses_to_remotes,"(rs: list (Plc*Evidence)) (t:Term) (p:Plc) (e:Evidence) : bool :=
  existsb (term_discloses_to_remote t p e) rs",2,Definition
